Ensembl	Gene_Name	PROBE_ID	nuID	Average_lumi	p.value	Fold_Change	q.value	DE	Probes_per_gene	Multiple_probes	Biotype	Chr	Gene_start	Gene_Description
ENSMUSG00000024800	Rpp30	ILMN_1232428	3ee.qf3gDjpCnlu1EA	9.26	2.2504E-02	0.85	5.8101E-02	0	1	N/A	protein_coding	19	36158221	ribonuclease P/MRP 30 subunit (human) Gene [Source:MGI Symbol;Acc:MGI:1859683]
ENSMUSG00000032091	Tmprss4	ILMN_2459260	Tf2QFWClUohfQArqjU	10.13	2.2548E-02	0.88	5.8101E-02	0	1	N/A	protein_coding	9	44980979	"transmembrane protease, serine 4 Gene [Source:MGI Symbol;Acc:MGI:2384877]"
ENSMUSG00000041278	Ttc1	ILMN_2464381	iimX3537.ONKug7l14	9.24	2.2516E-02	0.91	5.8101E-02	0	1	N/A	protein_coding	11	43543014	tetratricopeptide repeat domain 1 Gene [Source:MGI (curated);Acc:MGI:1914077]
ENSMUSG00000021994	Wnt5a	ILMN_2511913	lU9Op_sl960XS17p3w	8.94	2.2504E-02	0.78	5.8101E-02	0	2	N/A	protein_coding	14	29317936	wingless-related MMTV integration site 5A Gene [Source:MGI (curated);Acc:MGI:98958]
ENSMUSG00000022361	Zhx1	ILMN_2510714	W1N0esp6OAt53jv5yc	10.06	2.2471E-02	1.10	5.8101E-02	0	3	N/A	protein_coding	15	57878558	zinc fingers and homeoboxes 1 Gene [Source:MGI Symbol;Acc:MGI:109271]
ENSMUSG00000069833	Ahnak	ILMN_1258578	6cq6n_knurMph3ffFw	9.19	2.2567E-02	0.90	5.8215E-02	0	2	N/A	protein_coding	19	9063774	AHNAK nucleoprotein (desmoyokin) Gene [Source:MGI Symbol;Acc:MGI:1316648]
ENSMUSG00000053819	Camk2d	ILMN_1222123	uQS5R99Pe10KRSmrjU	10.06	2.2575E-02	0.84	5.8215E-02	0	2	N/A	protein_coding	3	126299220	"calcium/calmodulin-dependent protein kinase II, delta Gene [Source:MGI (curated);Acc:MGI:1341265]"
ENSMUSG00000028696	Ipp	ILMN_1237651	BjRy2_4Kq757HuEiCk	8.89	2.2619E-02	0.85	5.8215E-02	0	1	N/A	protein_coding	4	116180154	IAP promoted placental gene Gene [Source:MGI (curated);Acc:MGI:96581]
ENSMUSG00000034981	Parm1	ILMN_1237546	HM0uKICgZNWph5R3u4	8.93	2.2601E-02	0.84	5.8215E-02	0	2	N/A	protein_coding	5	91946726	prostate androgen-regulated mucin-like protein 1 Gene [Source:MGI Symbol;Acc:MGI:2443349]
ENSMUSG00000020516	Rps6kb1	ILMN_1222291	xRJSz5Ln_5.2DUhKvg	8.99	2.2637E-02	1.08	5.8215E-02	0	1	N/A	protein_coding	11	86312373	"ribosomal protein S6 kinase, polypeptide 1 Gene [Source:MGI (curated);Acc:MGI:1270849]"
ENSMUSG00000025737	Wdr24	ILMN_1213899	fJ5dBQl1FGeTtB7LR4	8.89	2.2558E-02	0.88	5.8215E-02	0	1	N/A	protein_coding	17	25960572	WD repeat domain 24 Gene [Source:MGI (curated);Acc:MGI:2446285]
ENSMUSG00000065979	Cpped1	ILMN_1255438	fV7ql547qiQC7sNzsE	8.93	2.2749E-02	1.24	5.8306E-02	0	1	N/A	protein_coding	16	11803814	calcineurin-like phosphoesterase domain containing 1 Gene [Source:MGI (curated);Acc:MGI:2443300]
ENSMUSG00000075419	Dolk	ILMN_1226126	0oJsRx0jIQ3Xvl3cXE	9.26	2.2681E-02	0.91	5.8306E-02	0	1	N/A	protein_coding	2	30139751	dolichol kinase Gene [Source:MGI (curated);Acc:MGI:2677836]
ENSMUSG00000056629	Fkbp2	ILMN_2962273	ZSqeeqO7gqgCaC_uNU	8.99	2.2749E-02	1.17	5.8306E-02	0	2	N/A	protein_coding	19	7052234	FK506 binding protein 2 Gene [Source:MGI Symbol;Acc:MGI:95542]
ENSMUSG00000035212	Leprot	ILMN_2603568	WdnDi7UiR3V_KfmtQo	10.06	2.2708E-02	1.10	5.8306E-02	0	1	N/A	protein_coding	4	101320323	leptin receptor overlapping transcript Gene [Source:MGI (curated);Acc:MGI:2687005]
ENSMUSG00000017715	Pgs1	ILMN_1223307	WRzeV8lIee_3fNclDo	8.99	2.2650E-02	0.86	5.8306E-02	0	1	N/A	protein_coding	11	117847606	phosphatidylglycerophosphate synthase 1 Gene [Source:MGI (curated);Acc:MGI:1921701]
ENSMUSG00000031357	Syap1	ILMN_2941840	0nUr1P1HN0nALkJSP4	9.26	2.2653E-02	0.90	5.8306E-02	0	2	N/A	protein_coding	X	159294989	synapse associated protein 1 Gene [Source:MGI (curated);Acc:MGI:1914293]
ENSMUSG00000047603	Zfp235	ILMN_2466926	KV5PTPi2z1UsNuwqFM	8.94	2.2708E-02	0.90	5.8306E-02	0	1	N/A	protein_coding	7	24919182	zinc finger protein 235 Gene [Source:MGI Symbol;Acc:MGI:1929117]
ENSMUSG00000028268	Gbp3	ILMN_2918002	3_0jHn12i3D3u0vTxc	9.26	2.2782E-02	1.10	5.8515E-02	0	2	N/A	protein_coding	3	142223016	guanylate binding protein 3 Gene [Source:MGI (curated);Acc:MGI:1926263]
ENSMUSG00000021007	Spata7	ILMN_2691469	6dIcJFeSetCBROnPRw	8.89	2.2811E-02	0.89	5.8515E-02	0	2	N/A	protein_coding	12	99866367	spermatogenesis associated 7 Gene [Source:MGI (curated);Acc:MGI:2144877]
ENSMUSG00000007989	Fzd3	ILMN_2801520	3pFJOBbvPiijoFLny0	9.26	2.2899E-02	0.91	5.8724E-02	0	1	N/A	protein_coding	14	65819863	frizzled homolog 3 (Drosophila) Gene [Source:MGI (curated);Acc:MGI:108476]
ENSMUSG00000036078	Sigmar1	ILMN_2677170	6XogsJarUKJRVPUAgk	8.89	2.2859E-02	0.78	5.8724E-02	0	3	N/A	protein_coding	4	41685366	sigma non-opioid intracellular receptor 1 Gene [Source:MGI (curated);Acc:MGI:1195268]
ENSMUSG00000033596	Rfwd3	ILMN_2944546	HEvisMTl.rVJGeCkgE	8.93	2.2978E-02	1.19	5.8932E-02	0	2	N/A	protein_coding	8	113794844	ring finger and WD repeat domain 3 Gene [Source:MGI Symbol;Acc:MGI:2384584]
ENSMUSG00000029860	Zyx	ILMN_2514292	iehFRfne55yvulEnCM	9.24	2.3038E-02	0.80	5.8932E-02	0	1	N/A	protein_coding	6	42300054	zyxin Gene [Source:MGI Symbol;Acc:MGI:103072]
ENSMUSG00000013160	Atp6v0d1	ILMN_2608429	0pB9elDgm0XeGu0tNg	9.26	2.3115E-02	0.88	5.9068E-02	0	4	N/A	protein_coding	8	108048365	"ATPase, H+ transporting, lysosomal V0 subunit D1 Gene [Source:MGI (curated);Acc:MGI:1201778]"
ENSMUSG00000022240	Ctnnd2	ILMN_2652527	oXxqOeuk2IL62k3cAk	9.09	2.3135E-02	0.82	5.9068E-02	0	3	N/A	protein_coding	15	30102348	"catenin (cadherin associated protein), delta 2 Gene [Source:MGI Symbol;Acc:MGI:1195966]"
ENSMUSG00000017286	Glod4	ILMN_1243609	iR36yKQPXHu7D7PA.o	9.24	2.3145E-02	1.12	5.9068E-02	0	1	N/A	protein_coding	11	76035012	glyoxalase domain containing 4 Gene [Source:MGI (curated);Acc:MGI:1914451]
ENSMUSG00000018411	Mapt	ILMN_1257750	ctS1C7p2CjDNARtWro	8.89	2.3053E-02	1.26	5.9068E-02	0	3	N/A	protein_coding	11	104092704	microtubule-associated protein tau Gene [Source:MGI (curated);Acc:MGI:97180]
ENSMUSG00000012126	Ubxn11	ILMN_2766809	uOlCHSCII3d5fXnOik	10.06	2.3084E-02	0.92	5.9068E-02	0	2	N/A	protein_coding	4	133658485	UBX domain protein 11 Gene [Source:MGI (curated);Acc:MGI:1914836]
ENSMUSG00000046791	2410016O06Rik	ILMN_2972325	WoC9ukguleFXtf0iRQ	8.99	2.3167E-02	0.83	5.9252E-02	0	1	N/A	protein_coding	12	85291620	RIKEN cDNA 2410016O06 gene Gene [Source:MGI Symbol;Acc:MGI:1919202]
ENSMUSG00000075408	6030408B16Rik	ILMN_3125764	6YgXoHv1TeiLu0lNSQ	8.89	2.3204E-02	0.86	5.9252E-02	0	1	N/A	protein_coding	15	101123686	RIKEN cDNA 6030408B16 gene Gene [Source:MGI Symbol;Acc:MGI:1924967]
ENSMUSG00000061838	Suclg2	ILMN_3122427	QSCrEnCEXife4Uul1E	9.09	2.3219E-02	0.88	5.9252E-02	0	1	N/A	protein_coding	6	95424131	"succinate-Coenzyme A ligase, GDP-forming, beta subunit Gene [Source:MGI Symbol;Acc:MGI:1306824]"
ENSMUSG00000001674	Ddx18	ILMN_1246999	Wl0r53t.6.wrV1.740	8.99	2.3307E-02	0.89	5.9363E-02	0	1	N/A	protein_coding	1	123450412	DEAD (Asp-Glu-Ala-Asp) box polypeptide 18 Gene [Source:MGI (curated);Acc:MGI:1914192]
ENSMUSG00000042258	Isl1	ILMN_2727472	o.lEJt2o_7_HXt7UIE	9.56	2.3296E-02	0.84	5.9363E-02	0	1	N/A	protein_coding	13	117088489	"ISL1 transcription factor, LIM/homeodomain Gene [Source:MGI Symbol;Acc:MGI:101791]"
ENSMUSG00000018893	Mb	ILMN_2954987	QqAN3.Ue0T_FUDULR4	9.09	2.3285E-02	0.89	5.9363E-02	0	1	N/A	protein_coding	15	76845919	myoglobin Gene [Source:MGI Symbol;Acc:MGI:96922]
ENSMUSG00000039713	Plekhg5	ILMN_2812215	6mUpKuvl00XTpQ.kf4	8.89	2.3323E-02	0.81	5.9363E-02	0	1	N/A	protein_coding	4	151446607	"pleckstrin homology domain containing, family G (with RhoGef domain) member 5 Gene [Source:MGI (curated);Acc:MGI:2652860]"
ENSMUSG00000040423	Rc3h1	ILMN_2789321	ukJIA6UlYlUAQjWR4o	10.06	2.3280E-02	0.89	5.9363E-02	0	1	N/A	protein_coding	1	162836549	RING CCCH (C3H) domains 1 Gene [Source:MGI (curated);Acc:MGI:2685397]
ENSMUSG00000046229	Scand1	ILMN_1223960	ZIX9lJn1pL9nFKGaWo	8.99	2.3316E-02	1.18	5.9363E-02	0	1	N/A	protein_coding	2	156137586	SCAN domain-containing 1 Gene [Source:MGI Symbol;Acc:MGI:1343132]
ENSMUSG00000069237	C78339	ILMN_3162465	WqtI47UgV4NUdwoMGE	8.99	2.3390E-02	0.84	5.9521E-02	0	1	N/A	protein_coding	13	46764891	Autosomal Highly Conserved Protein  [Source:RefSeq peptide;Acc:NP_001028364]
ENSMUSG00000027430	Dtd1	ILMN_2753057	9CFeoF4M1eSABFAoU8	8.89	2.3384E-02	1.23	5.9521E-02	0	1	N/A	protein_coding	2	144425633	D-tyrosyl-tRNA deacylase 1 homolog (S. cerevisiae) Gene [Source:MGI (curated);Acc:MGI:1913294]
ENSMUSG00000021629	Slc30a5	ILMN_2614778	rxNO4hkleaTgS4Emis	9.09	2.3353E-02	0.82	5.9521E-02	0	2	N/A	protein_coding	13	101572604	"solute carrier family 30 (zinc transporter), member 5 Gene [Source:MGI Symbol;Acc:MGI:1916298]"
ENSMUSG00000063659	Zfp238	ILMN_2450147	ru6fqLX6ruJePwD0hM	9.09	2.3351E-02	0.90	5.9521E-02	0	4	N/A	protein_coding	1	179374792	zinc finger protein 238 Gene [Source:MGI Symbol;Acc:MGI:1353609]
ENSMUSG00000039982	Dtx4	ILMN_2922334	0VquBA6j6IRJziOfNU	9.26	2.3542E-02	0.88	5.9679E-02	0	2	N/A	protein_coding	19	12540831	deltex 4 homolog (Drosophila) Gene [Source:MGI Symbol;Acc:MGI:2672905]
ENSMUSG00000053470	Kdm3a	ILMN_2707895	uhRk18x7h9FyN9xQng	10.06	2.3472E-02	1.21	5.9679E-02	0	3	N/A	protein_coding	6	71539039	lysine (K)-specific demethylase 3A Gene [Source:MGI Symbol;Acc:MGI:98847]
ENSMUSG00000049382	Krt8	ILMN_1221157	9p7r7ggj4BWI6gnrtY	8.89	2.3463E-02	0.94	5.9679E-02	0	1	N/A	protein_coding	15	101827142	keratin 8 Gene [Source:MGI Symbol;Acc:MGI:96705]
ENSMUSG00000035495	Tstd2	ILMN_2738284	ikn8N_O0C.QuqvhI04	9.24	2.3458E-02	1.14	5.9679E-02	0	1	N/A	protein_coding	4	46127618	thiosulfate sulfurtransferase (rhodanese)-like domain containing 2 Gene [Source:MGI (curated);Acc:MGI:3039624]
ENSMUSG00000061298	Agbl4	ILMN_3081260	raeB1eviCMktVOUIfY	9.09	2.3649E-02	0.91	5.9812E-02	0	1	N/A	protein_coding	4	110070266	ATP/GTP binding protein-like 4 Gene [Source:MGI (curated);Acc:MGI:1918244]
ENSMUSG00000025531	Chm	ILMN_3072377	lonuBxeSBAtLkapSIs	8.94	2.3608E-02	0.92	5.9812E-02	0	1	N/A	protein_coding	X	110154204	choroidermia Gene [Source:MGI (curated);Acc:MGI:892979]
ENSMUSG00000022441	Efcab6	ILMN_1249844	rpNKt7VQhy0MUhDoqc	9.09	2.3630E-02	0.90	5.9812E-02	0	2	N/A	protein_coding	15	83697142	EF-hand calcium binding domain 6 Gene [Source:MGI (curated);Acc:MGI:1924877]
ENSMUSG00000016487	Ppfibp1	ILMN_3150724	QmSE.phU.QX3j65IpU	9.09	2.3604E-02	0.91	5.9812E-02	0	2	N/A	protein_coding	6	146837009	"PTPRF interacting protein, binding protein 1 (liprin beta 1) Gene [Source:MGI (curated);Acc:MGI:1914783]"
ENSMUSG00000061479	Snrpa	ILMN_1247582	9J2aCoglvlqgjL7u3s	8.89	2.3618E-02	1.31	5.9812E-02	0	2	N/A	protein_coding	7	27972024	small nuclear ribonucleoprotein polypeptide A Gene [Source:MGI (curated);Acc:MGI:1855690]
ENSMUSG00000024645	1700034H14Rik	ILMN_2732877	B_xJOaIJ5GrX6kpL74	8.89	2.3723E-02	0.84	5.9969E-02	0	4	N/A	protein_coding	18	85116686	RIKEN cDNA 1700034H14 gene Gene [Source:MGI Symbol;Acc:MGI:1920595]
ENSMUSG00000029440	Psmd9	ILMN_2593662	Npiw4.jtP9f_iGh0u4	9.56	2.3742E-02	1.17	5.9969E-02	0	1	N/A	protein_coding	5	123678199	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 9 Gene [Source:MGI (curated);Acc:MGI:1914401]"
ENSMUSG00000054484	Tmem62	ILMN_2633670	clLNLq4n0oJLR1_hN4	8.89	2.3748E-02	0.90	5.9969E-02	0	1	N/A	protein_coding	2	120802753	transmembrane protein 62 Gene [Source:MGI (curated);Acc:MGI:2139461]
ENSMUSG00000027291	Vps39	ILMN_2441359	Kn5SVHhZKe.MeUu.3U	8.94	2.3747E-02	0.90	5.9969E-02	0	1	N/A	protein_coding	2	120142197	vacuolar protein sorting 39 (yeast) Gene [Source:MGI (curated);Acc:MGI:2443189]
ENSMUSG00000020864	Ankrd40	ILMN_2681592	c6lAoQlPjVAl2zlRSo	8.89	2.3820E-02	1.15	6.0029E-02	0	3	N/A	protein_coding	11	94189315	ankyrin repeat domain 40 Gene [Source:MGI (curated);Acc:MGI:1918702]
ENSMUSG00000039285	Azi2	ILMN_2689632	rioNV3ByywW80AKPnI	9.09	2.3776E-02	1.10	6.0029E-02	0	2	N/A	protein_coding	9	117949617	5-azacytidine induced gene 2 Gene [Source:MGI (curated);Acc:MGI:1351332]
ENSMUSG00000053333	Dis3l2	ILMN_2592496	Qe5eVxXnp.ygyhf_EU	9.09	2.3769E-02	0.81	6.0029E-02	0	1	N/A	protein_coding	1	88600418	DIS3 mitotic control homolog (S. cerevisiae)-like 2 Gene [Source:MGI Symbol;Acc:MGI:2442555]
ENSMUSG00000069814	E130309D14Rik	ILMN_3161884	9eqUI6oJU1cxCSSjIs	8.89	2.3791E-02	1.12	6.0029E-02	0	1	N/A	protein_coding	11	74433107	RIKEN cDNA E130309D14 gene Gene [Source:MGI Symbol;Acc:MGI:3588240]
ENSMUSG00000022339	Ebag9	ILMN_1250359	QDD.OuoBx3nNzzn.vQ	9.09	2.3827E-02	1.16	6.0029E-02	0	1	N/A	protein_coding	15	44450859	estrogen receptor-binding fragment-associated gene 9 Gene [Source:MGI Symbol;Acc:MGI:1859920]
ENSMUSG00000037605	Lphn3	ILMN_2782041	6mPTrR2QXi9FEmoMns	8.89	2.3837E-02	0.89	6.0029E-02	0	1	N/A	protein_coding	5	81449163	latrophilin 3 Gene [Source:MGI (curated);Acc:MGI:2441950]
ENSMUSG00000025373	Rnf41	ILMN_1250630	fjgWmcc4gcbpQmTV6Q	8.89	2.3806E-02	1.17	6.0029E-02	0	1	N/A	protein_coding	10	127848771	ring finger protein 41 Gene [Source:MGI Symbol;Acc:MGI:1914838]
ENSMUSG00000044248	Vmn1r45	ILMN_1249741	oXTwB0VAMywBxew71Y	9.09	2.3808E-02	0.86	6.0029E-02	0	1	N/A	protein_coding	6	89881641	vomeronasal 1 receptor 45 Gene [Source:MGI Symbol;Acc:MGI:1333762]
ENSMUSG00000032405	Pias1	ILMN_2737777	ofVcZO7vURIBp7vItE	9.56	2.3900E-02	0.87	6.0233E-02	0	1	N/A	protein_coding	9	62728933	protein inhibitor of activated STAT 1 Gene [Source:MGI Symbol;Acc:MGI:1913125]
ENSMUSG00000040848	Sft2d2	ILMN_2925008	NF_DCgpCsBAkJdXodY	8.94	2.3864E-02	1.13	6.0233E-02	0	2	N/A	protein_coding	1	167104628	SFT2 domain containing 2 Gene [Source:MGI Symbol;Acc:MGI:1917362]
ENSMUSG00000070960	AC134327.1	ILMN_2795698	ovot6freNOjlW8LvsY	10.78	2.4034E-02	0.79	6.0340E-02	0	2	N/A	pseudogene	1	31672836	N/A
ENSMUSG00000044864	Ankrd50	ILMN_3160568	fSRJVTngkt1FEWDA5I	8.93	2.4041E-02	0.85	6.0340E-02	0	1	N/A	protein_coding	3	38348183	ankyrin repeat domain 50 Gene [Source:MGI (curated);Acc:MGI:2139777]
ENSMUSG00000030304	Ergic2	ILMN_1241196	9jm5INTrTdztDAskqA	8.89	2.4045E-02	0.90	6.0340E-02	0	2	N/A	protein_coding	6	148127601	ERGIC and golgi 2 Gene [Source:MGI (curated);Acc:MGI:1914706]
ENSMUSG00000021732	Fgf10	ILMN_2736497	ZpHnUU54Lu8lGrEiTM	8.99	2.4036E-02	0.86	6.0340E-02	0	2	N/A	protein_coding	13	119458598	fibroblast growth factor 10 Gene [Source:MGI (curated);Acc:MGI:1099809]
ENSMUSG00000045962	Hsn2	ILMN_1241638	HEo4eLn0xSSyKiUDkk	8.93	2.3990E-02	1.16	6.0340E-02	0	3	N/A	protein_coding	6	119873987	WNK lysine deficient protein kinase 1 Gene [Source:MGI (curated);Acc:MGI:2442092]
ENSMUSG00000026021	Sumo1	ILMN_2632942	3Xklmu_57IgqGj_wF0	9.01	2.3980E-02	0.83	6.0340E-02	0	2	N/A	protein_coding	1	59696278	SMT3 suppressor of mif two 3 homolog 1 (yeast) Gene [Source:MGI (curated);Acc:MGI:1197010]
ENSMUSG00000037750	BC017647	ILMN_1233664	uvl3tQHSc_10NeXFdU	10.06	2.4088E-02	0.77	6.0470E-02	0	1	N/A	protein_coding	11	77908162	Uncharacterized protein C17orf63 homolog  [Source:UniProtKB/Swiss-Prot;Acc:Q6P539]
ENSMUSG00000002308	Cd320	ILMN_1235750	Qe0gKAF3eN4oROvFF4	9.09	2.4146E-02	0.86	6.0470E-02	0	1	N/A	protein_coding	17	33980036	CD320 antigen Gene [Source:MGI Symbol;Acc:MGI:1860083]
ENSMUSG00000074579	Lekr1	ILMN_2867789	Kh0eXVLR0kUZ.N.Ksk	8.94	2.4105E-02	0.88	6.0470E-02	0	1	N/A	protein_coding	3	65470150	"leucine, glutamate and lysine rich 1 Gene [Source:MGI Symbol;Acc:MGI:3645902]"
ENSMUSG00000008035	Mid1ip1	ILMN_2847332	WSKKX6b5yj5tL.Xv5E	8.99	2.4073E-02	1.35	6.0470E-02	0	1	N/A	protein_coding	X	10292139	Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish)) Gene [Source:MGI (curated);Acc:MGI:1915291]
ENSMUSG00000040824	Snrpd2	ILMN_2612635	0StV3S50ZLa0IEEZC4	9.26	2.4051E-02	0.83	6.0470E-02	0	1	N/A	protein_coding	7	19735071	small nuclear ribonucleoprotein D2 Gene [Source:MGI (curated);Acc:MGI:98345]
ENSMUSG00000032245	Cln6	ILMN_2525382	Ed_ISRN0l4N3RReXrk	8.89	2.4247E-02	0.90	6.0625E-02	0	1	N/A	protein_coding	9	62686592	"ceroid-lipofuscinosis, neuronal 6 Gene [Source:MGI (curated);Acc:MGI:2159324]"
ENSMUSG00000029104	Htt	ILMN_2672091	9lKQ6Si5.kOKnOSoE4	8.89	2.4157E-02	1.17	6.0625E-02	0	1	N/A	protein_coding	5	35104389	huntingtin Gene [Source:MGI (curated);Acc:MGI:96067]
ENSMUSG00000025582	Nptx1	ILMN_2604570	uVh8.3CHkCNH_0Uleo	10.06	2.4154E-02	0.87	6.0625E-02	0	1	N/A	protein_coding	11	119400033	neuronal pentraxin 1 Gene [Source:MGI (curated);Acc:MGI:107811]
ENSMUSG00000020230	Prmt2	ILMN_3099751	cSXuxe4e47WTfu0uu0	8.89	2.4215E-02	0.86	6.0625E-02	0	2	N/A	protein_coding	10	75669967	protein arginine N-methyltransferase 2 Gene [Source:MGI (curated);Acc:MGI:1316652]
ENSMUSG00000050552	0910001L09Rik	ILMN_2621882	BF957X56L6n7nRxdfU	8.89	2.4321E-02	0.85	6.0754E-02	0	1	N/A	protein_coding	5	138696836	RIKEN cDNA 0910001L09 gene Gene [Source:MGI Symbol;Acc:MGI:1913346]
ENSMUSG00000047804	Akap10	ILMN_2645981	Eef0qT96d174LM_FfU	8.89	2.4327E-02	0.85	6.0754E-02	0	3	N/A	protein_coding	11	61684809	A kinase (PRKA) anchor protein 10 Gene [Source:MGI (curated);Acc:MGI:1890218]
ENSMUSG00000021939	Ctsb	ILMN_2683316	lrTr_e7hYSMFEOAct4	8.94	2.4275E-02	1.20	6.0754E-02	0	1	N/A	protein_coding	14	63741353	cathepsin B Gene [Source:MGI Symbol;Acc:MGI:88561]
ENSMUSG00000050965	Prkca	ILMN_1217890	0lHvRi77yUFUREQz.k	9.26	2.4320E-02	0.92	6.0754E-02	0	1	N/A	protein_coding	11	107794701	"protein kinase C, alpha Gene [Source:MGI (curated);Acc:MGI:97595]"
ENSMUSG00000034163	Zfc3h1	ILMN_2597899	3JKvvh5X9xveh1_eIc	9.26	2.4289E-02	0.87	6.0754E-02	0	1	N/A	protein_coding	10	114822015	"zinc finger, C3H1-type containing Gene [Source:MGI (curated);Acc:MGI:2446143]"
ENSMUSG00000089856	AC122789.1	ILMN_2640796	coT2iVA6kn.fr6evvo	8.89	2.4358E-02	0.90	6.0883E-02	0	1	N/A	pseudogene	5	129106984	N/A
ENSMUSG00000024566	Atp9b	ILMN_3002875	cig96XyLyVSi_5uSd4	8.89	2.4395E-02	0.91	6.0883E-02	0	2	N/A	protein_coding	18	80931816	"ATPase, class II, type 9B Gene [Source:MGI Symbol;Acc:MGI:1354757]"
ENSMUSG00000013089	Etv5	ILMN_2938047	xoP57X4R1ET7vXRu6g	8.99	2.4375E-02	1.29	6.0883E-02	0	1	N/A	protein_coding	16	22381385	ets variant gene 5 Gene [Source:MGI Symbol;Acc:MGI:1096867]
ENSMUSG00000074170	Plekhf1	ILMN_2644920	0_63ueLvUqJv175Rt0	#N/A	2.4416E-02	1.11	6.0883E-02	0	1	N/A	protein_coding	7	39005694	"pleckstrin homology domain containing, family F (with FYVE domain) member 1 Gene [Source:MGI Symbol;Acc:MGI:1919537]"
ENSMUSG00000009995	Taz	ILMN_2978525	crV_jqccflR50QF00o	8.89	2.4368E-02	0.86	6.0883E-02	0	2	N/A	protein_coding	X	71527251	tafazzin Gene [Source:MGI (curated);Acc:MGI:109626]
ENSMUSG00000042737	Dpm3	ILMN_1248860	KP0YeYoZ5WInkiUjbo	8.94	2.4472E-02	0.89	6.1084E-02	0	1	N/A	protein_coding	3	89063280	dolichyl-phosphate mannosyltransferase polypeptide 3 Gene [Source:MGI (curated);Acc:MGI:1915813]
ENSMUSG00000034456	Uroc1	ILMN_1258766	6lMkitANp.ek.63O.c	8.89	2.4495E-02	0.81	6.1084E-02	0	1	N/A	protein_coding	6	90283283	urocanase domain containing 1 Gene [Source:MGI Symbol;Acc:MGI:2385332]
ENSMUSG00000028578	5830433M19Rik	ILMN_1217473	i1yYBcOB7.vsKdIjYE	9.24	2.4637E-02	0.85	6.1212E-02	0	1	N/A	protein_coding	4	94166772	RIKEN cDNA 5830433M19 gene Gene [Source:MGI Symbol;Acc:MGI:1915020]
ENSMUSG00000039648	Ccbl1	ILMN_2623735	llYXl65zo4lc4xGf5Q	8.94	2.4567E-02	0.86	6.1212E-02	0	2	N/A	protein_coding	2	30040644	cysteine conjugate-beta lyase 1 Gene [Source:MGI (curated);Acc:MGI:1917516]
ENSMUSG00000075000	Nrbf2	ILMN_2837888	ZiOdfTes57qIIrrlKE	8.99	2.4598E-02	0.85	6.1212E-02	0	1	N/A	protein_coding	10	66729437	nuclear receptor binding factor 2 Gene [Source:MGI (curated);Acc:MGI:1354950]
ENSMUSG00000061130	Ppm1b	ILMN_2752074	ry1e1qOt947dcQ5riQ	9.09	2.4599E-02	0.84	6.1212E-02	0	2	N/A	protein_coding	17	85357355	"protein phosphatase 1B, magnesium dependent, beta isoform Gene [Source:MGI Symbol;Acc:MGI:101841]"
ENSMUSG00000078201	Tmem203	ILMN_2773862	WlS.HtS.38zMI2.XYk	8.99	2.4641E-02	0.84	6.1212E-02	0	1	N/A	protein_coding	2	25110974	transmembrane protein 203 Gene [Source:MGI (curated);Acc:MGI:2443597]
ENSMUSG00000034853	Acot11	ILMN_1227579	BdihoCF7qBf53lv_yE	8.89	2.4747E-02	1.11	6.1388E-02	0	2	N/A	protein_coding	4	106417160	acyl-CoA thioesterase 11 Gene [Source:MGI (curated);Acc:MGI:1913736]
ENSMUSG00000021377	Dek	ILMN_2755384	KqCm4kROj8zMLgeEss	8.94	2.4689E-02	1.13	6.1388E-02	0	3	N/A	protein_coding	13	47180144	DEK oncogene (DNA binding) Gene [Source:MGI (curated);Acc:MGI:1926209]
ENSMUSG00000058756	Thra	ILMN_1257365	rK3_KNKC3Al0ppSKu4	9.09	2.4710E-02	1.12	6.1388E-02	0	2	N/A	protein_coding	11	98601952	thyroid hormone receptor alpha Gene [Source:MGI (curated);Acc:MGI:98742]
ENSMUSG00000006724	Cyp27b1	ILMN_2589433	oI4FpnHOIHG6UJk1ek	9.56	2.4778E-02	1.18	6.1540E-02	0	1	N/A	protein_coding	10	126485306	"cytochrome P450, family 27, subfamily b, polypeptide 1 Gene [Source:MGI Symbol;Acc:MGI:1098274]"
ENSMUSG00000029714	Gigyf1	ILMN_2600453	ul6qEZ6CUCD_UBD16I	10.06	2.4768E-02	0.92	6.1540E-02	0	1	N/A	protein_coding	5	137960096	GRB10 interacting GYF protein 1 Gene [Source:MGI Symbol;Acc:MGI:1888677]
ENSMUSG00000080859	RP23-232D1.4	ILMN_2740432	olK007U1gUL5IEKBO4	9.56	2.4845E-02	0.83	6.1540E-02	0	1	N/A	pseudogene	2	105394358	N/A
ENSMUSG00000026197	Zfand2b	ILMN_2763951	Q3nnkgirpagud3r6pc	9.09	2.4790E-02	1.22	6.1540E-02	0	4	N/A	protein_coding	1	75165220	"zinc finger, AN1 type domain 2B Gene [Source:MGI (curated);Acc:MGI:1916068]"
ENSMUSG00000028792	Ak2	ILMN_1235909	QcIhdJ9xMIF06NVKVI	9.09	2.4888E-02	0.88	6.1594E-02	0	2	N/A	protein_coding	4	128669202	adenylate kinase 2 Gene [Source:MGI (curated);Acc:MGI:87978]
